  0%|                                                                                                                                                              | 0/459 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                                                                                                                                                           
{'loss': 3.8616, 'grad_norm': 4.4314188957214355, 'learning_rate': 1.8e-05, 'epoch': 0.07}
{'loss': 3.4707, 'grad_norm': 3.9245870113372803, 'learning_rate': 3.8e-05, 'epoch': 0.13}
{'loss': 3.0342, 'grad_norm': 2.4955039024353027, 'learning_rate': 5.8e-05, 'epoch': 0.2}
{'loss': 2.7361, 'grad_norm': 2.0589797496795654, 'learning_rate': 7.800000000000001e-05, 'epoch': 0.26}
{'loss': 2.4604, 'grad_norm': 2.2400436401367188, 'learning_rate': 9.8e-05, 'epoch': 0.33}
{'loss': 2.2654, 'grad_norm': 2.4586899280548096, 'learning_rate': 0.000118, 'epoch': 0.39}
{'loss': 2.2219, 'grad_norm': 2.3298840522766113, 'learning_rate': 0.000138, 'epoch': 0.46}
{'loss': 2.1767, 'grad_norm': 2.3278024196624756, 'learning_rate': 0.00015600000000000002, 'epoch': 0.53}
{'loss': 2.0754, 'grad_norm': 2.021766424179077, 'learning_rate': 0.00017600000000000002, 'epoch': 0.59}
{'loss': 1.9812, 'grad_norm': 1.8753209114074707, 'learning_rate': 0.000196, 'epoch': 0.66}
{'loss': 1.9342, 'grad_norm': 2.3101930618286133, 'learning_rate': 0.0001955431754874652, 'epoch': 0.72}
{'loss': 1.8537, 'grad_norm': 2.129033327102661, 'learning_rate': 0.00018997214484679667, 'epoch': 0.79}
{'loss': 1.8348, 'grad_norm': 2.112182140350342, 'learning_rate': 0.00018440111420612814, 'epoch': 0.85}
{'loss': 1.8198, 'grad_norm': 1.847591519355774, 'learning_rate': 0.00017883008356545964, 'epoch': 0.92}
{'loss': 1.7539, 'grad_norm': 1.7976545095443726, 'learning_rate': 0.0001732590529247911, 'epoch': 0.99}
{'loss': 1.7091, 'grad_norm': 2.2697174549102783, 'learning_rate': 0.00016768802228412256, 'epoch': 1.05}
{'loss': 1.5658, 'grad_norm': 1.8992339372634888, 'learning_rate': 0.00016211699164345403, 'epoch': 1.11}
{'loss': 1.61, 'grad_norm': 2.2109861373901367, 'learning_rate': 0.0001565459610027855, 'epoch': 1.18}
{'loss': 1.5641, 'grad_norm': 2.0786118507385254, 'learning_rate': 0.000150974930362117, 'epoch': 1.24}
{'loss': 1.4772, 'grad_norm': 1.9786570072174072, 'learning_rate': 0.00014540389972144847, 'epoch': 1.31}
{'loss': 1.4393, 'grad_norm': 2.369741201400757, 'learning_rate': 0.00013983286908077994, 'epoch': 1.37}
{'loss': 1.477, 'grad_norm': 2.142148017883301, 'learning_rate': 0.00013426183844011141, 'epoch': 1.44}
{'loss': 1.4094, 'grad_norm': 2.2317006587982178, 'learning_rate': 0.0001286908077994429, 'epoch': 1.51}
{'loss': 1.4819, 'grad_norm': 2.03535795211792, 'learning_rate': 0.00012311977715877438, 'epoch': 1.57}
{'loss': 1.4609, 'grad_norm': 2.136972427368164, 'learning_rate': 0.00011754874651810586, 'epoch': 1.64}
{'loss': 1.393, 'grad_norm': 2.058018684387207, 'learning_rate': 0.00011197771587743733, 'epoch': 1.7}
{'loss': 1.3749, 'grad_norm': 2.4256107807159424, 'learning_rate': 0.0001064066852367688, 'epoch': 1.77}
{'loss': 1.4085, 'grad_norm': 2.531752109527588, 'learning_rate': 0.0001008356545961003, 'epoch': 1.83}
{'loss': 1.2699, 'grad_norm': 2.2051403522491455, 'learning_rate': 9.526462395543177e-05, 'epoch': 1.9}
{'loss': 1.3401, 'grad_norm': 2.483105182647705, 'learning_rate': 8.969359331476324e-05, 'epoch': 1.97}
{'loss': 1.2452, 'grad_norm': 2.1586546897888184, 'learning_rate': 8.41225626740947e-05, 'epoch': 2.03}
