  0%|                                                                                                                                                             | 0/1530 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                                                                                                                                                           
{'loss': 3.9003, 'grad_norm': 5.146732330322266, 'learning_rate': 9e-06, 'epoch': 0.07}
{'loss': 3.6331, 'grad_norm': 3.5101981163024902, 'learning_rate': 1.9e-05, 'epoch': 0.13}
{'loss': 3.3125, 'grad_norm': 3.1672799587249756, 'learning_rate': 2.9e-05, 'epoch': 0.2}
{'loss': 3.0067, 'grad_norm': 2.6271746158599854, 'learning_rate': 3.9000000000000006e-05, 'epoch': 0.26}
{'loss': 2.6947, 'grad_norm': 2.5100083351135254, 'learning_rate': 4.9e-05, 'epoch': 0.33}
{'loss': 2.4846, 'grad_norm': 2.870652198791504, 'learning_rate': 5.9e-05, 'epoch': 0.39}
{'loss': 2.4438, 'grad_norm': 2.1130690574645996, 'learning_rate': 6.9e-05, 'epoch': 0.46}
{'loss': 2.372, 'grad_norm': 2.2635834217071533, 'learning_rate': 7.900000000000001e-05, 'epoch': 0.53}
{'loss': 2.255, 'grad_norm': 2.300220251083374, 'learning_rate': 8.900000000000001e-05, 'epoch': 0.59}
{'loss': 2.1345, 'grad_norm': 2.5575718879699707, 'learning_rate': 9.900000000000001e-05, 'epoch': 0.66}
{'loss': 2.0798, 'grad_norm': 3.597154140472412, 'learning_rate': 9.937062937062938e-05, 'epoch': 0.72}
{'loss': 1.9909, 'grad_norm': 3.142085313796997, 'learning_rate': 9.867132867132868e-05, 'epoch': 0.79}
{'loss': 1.9647, 'grad_norm': 2.552130699157715, 'learning_rate': 9.797202797202798e-05, 'epoch': 0.85}
{'loss': 1.9451, 'grad_norm': 2.224980115890503, 'learning_rate': 9.727272727272728e-05, 'epoch': 0.92}
{'loss': 1.8795, 'grad_norm': 2.4293978214263916, 'learning_rate': 9.657342657342658e-05, 'epoch': 0.99}
{'loss': 1.8561, 'grad_norm': 2.5403432846069336, 'learning_rate': 9.587412587412587e-05, 'epoch': 1.05}
{'loss': 1.72, 'grad_norm': 2.20275616645813, 'learning_rate': 9.517482517482518e-05, 'epoch': 1.11}
{'loss': 1.7948, 'grad_norm': 2.502974033355713, 'learning_rate': 9.447552447552449e-05, 'epoch': 1.18}
{'loss': 1.7386, 'grad_norm': 2.5310537815093994, 'learning_rate': 9.377622377622378e-05, 'epoch': 1.24}
{'loss': 1.6603, 'grad_norm': 2.344693183898926, 'learning_rate': 9.307692307692309e-05, 'epoch': 1.31}
{'loss': 1.6241, 'grad_norm': 2.7715702056884766, 'learning_rate': 9.237762237762238e-05, 'epoch': 1.37}
{'loss': 1.6548, 'grad_norm': 2.6881103515625, 'learning_rate': 9.167832167832169e-05, 'epoch': 1.44}
{'loss': 1.5822, 'grad_norm': 2.6740713119506836, 'learning_rate': 9.097902097902098e-05, 'epoch': 1.51}
{'loss': 1.6697, 'grad_norm': 2.4285728931427, 'learning_rate': 9.027972027972027e-05, 'epoch': 1.57}
{'loss': 1.6285, 'grad_norm': 2.6634278297424316, 'learning_rate': 8.958041958041958e-05, 'epoch': 1.64}
{'loss': 1.5762, 'grad_norm': 2.4945790767669678, 'learning_rate': 8.888111888111889e-05, 'epoch': 1.7}
{'loss': 1.5614, 'grad_norm': 2.8482675552368164, 'learning_rate': 8.818181818181818e-05, 'epoch': 1.77}
{'loss': 1.6265, 'grad_norm': 2.865419387817383, 'learning_rate': 8.748251748251749e-05, 'epoch': 1.83}
{'loss': 1.4593, 'grad_norm': 2.745459794998169, 'learning_rate': 8.67832167832168e-05, 'epoch': 1.9}
{'loss': 1.5376, 'grad_norm': 3.0078282356262207, 'learning_rate': 8.608391608391608e-05, 'epoch': 1.97}
{'loss': 1.4601, 'grad_norm': 2.8536956310272217, 'learning_rate': 8.545454545454545e-05, 'epoch': 2.03}
{'loss': 1.3786, 'grad_norm': 2.465660572052002, 'learning_rate': 8.475524475524476e-05, 'epoch': 2.09}
{'loss': 1.3665, 'grad_norm': 3.8194739818573, 'learning_rate': 8.405594405594406e-05, 'epoch': 2.16}
{'loss': 1.4568, 'grad_norm': 3.2551932334899902, 'learning_rate': 8.335664335664336e-05, 'epoch': 2.22}
{'loss': 1.2606, 'grad_norm': 3.5091896057128906, 'learning_rate': 8.265734265734266e-05, 'epoch': 2.29}
{'loss': 1.2344, 'grad_norm': 2.6846423149108887, 'learning_rate': 8.195804195804197e-05, 'epoch': 2.35}
{'loss': 1.2822, 'grad_norm': 3.4677765369415283, 'learning_rate': 8.125874125874126e-05, 'epoch': 2.42}
{'loss': 1.2468, 'grad_norm': 3.1506540775299072, 'learning_rate': 8.055944055944057e-05, 'epoch': 2.49}
{'loss': 1.3966, 'grad_norm': 3.0675039291381836, 'learning_rate': 7.986013986013987e-05, 'epoch': 2.55}
{'loss': 1.1905, 'grad_norm': 3.1745505332946777, 'learning_rate': 7.916083916083916e-05, 'epoch': 2.62}
{'loss': 1.2505, 'grad_norm': 2.763823986053467, 'learning_rate': 7.846153846153847e-05, 'epoch': 2.68}
{'loss': 1.2138, 'grad_norm': 3.0617167949676514, 'learning_rate': 7.776223776223776e-05, 'epoch': 2.75}
{'loss': 1.1956, 'grad_norm': 3.3801355361938477, 'learning_rate': 7.706293706293707e-05, 'epoch': 2.81}
{'loss': 1.2247, 'grad_norm': 3.2757630348205566, 'learning_rate': 7.636363636363637e-05, 'epoch': 2.88}
{'loss': 1.2011, 'grad_norm': 3.6076009273529053, 'learning_rate': 7.566433566433567e-05, 'epoch': 2.95}
{'loss': 1.2549, 'grad_norm': 3.2829761505126953, 'learning_rate': 7.496503496503496e-05, 'epoch': 3.01}
{'loss': 1.0638, 'grad_norm': 3.101189613342285, 'learning_rate': 7.426573426573427e-05, 'epoch': 3.07}
{'loss': 1.0316, 'grad_norm': 4.656224250793457, 'learning_rate': 7.356643356643356e-05, 'epoch': 3.14}
{'loss': 0.9951, 'grad_norm': 3.277859687805176, 'learning_rate': 7.286713286713287e-05, 'epoch': 3.2}
{'loss': 1.025, 'grad_norm': 4.03169059753418, 'learning_rate': 7.216783216783218e-05, 'epoch': 3.27}
{'loss': 1.027, 'grad_norm': 4.154434680938721, 'learning_rate': 7.146853146853147e-05, 'epoch': 3.33}
{'loss': 1.0372, 'grad_norm': 4.434614181518555, 'learning_rate': 7.076923076923078e-05, 'epoch': 3.4}
{'loss': 1.0357, 'grad_norm': 3.0743420124053955, 'learning_rate': 7.006993006993008e-05, 'epoch': 3.47}
