  0%|                                                                                                                                                             | 0/1530 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                                                                                                                                                           
{'loss': 3.6766, 'grad_norm': 4.360418796539307, 'learning_rate': 9e-06, 'epoch': 0.07}
{'loss': 3.4581, 'grad_norm': 2.8120274543762207, 'learning_rate': 1.9e-05, 'epoch': 0.13}
{'loss': 3.1718, 'grad_norm': 3.1051018238067627, 'learning_rate': 2.9e-05, 'epoch': 0.2}
{'loss': 2.8361, 'grad_norm': 3.0414810180664062, 'learning_rate': 3.9000000000000006e-05, 'epoch': 0.26}
{'loss': 2.4561, 'grad_norm': 2.115225076675415, 'learning_rate': 4.9e-05, 'epoch': 0.33}
{'loss': 2.2252, 'grad_norm': 2.114248275756836, 'learning_rate': 5.9e-05, 'epoch': 0.39}
{'loss': 2.1808, 'grad_norm': 1.8557525873184204, 'learning_rate': 6.9e-05, 'epoch': 0.46}
{'loss': 2.0984, 'grad_norm': 1.9290388822555542, 'learning_rate': 7.900000000000001e-05, 'epoch': 0.53}
{'loss': 1.996, 'grad_norm': 2.1547908782958984, 'learning_rate': 8.900000000000001e-05, 'epoch': 0.59}
{'loss': 1.8836, 'grad_norm': 2.153319835662842, 'learning_rate': 9.900000000000001e-05, 'epoch': 0.66}
{'loss': 1.8464, 'grad_norm': 2.8519821166992188, 'learning_rate': 9.937062937062938e-05, 'epoch': 0.72}
{'loss': 1.7656, 'grad_norm': 2.308305501937866, 'learning_rate': 9.867132867132868e-05, 'epoch': 0.79}
{'loss': 1.7454, 'grad_norm': 2.359501361846924, 'learning_rate': 9.797202797202798e-05, 'epoch': 0.85}
{'loss': 1.7197, 'grad_norm': 2.0247747898101807, 'learning_rate': 9.727272727272728e-05, 'epoch': 0.92}
{'loss': 1.6694, 'grad_norm': 2.064303398132324, 'learning_rate': 9.657342657342658e-05, 'epoch': 0.99}
{'loss': 1.6449, 'grad_norm': 2.3528342247009277, 'learning_rate': 9.587412587412587e-05, 'epoch': 1.05}
{'loss': 1.5219, 'grad_norm': 1.8938555717468262, 'learning_rate': 9.517482517482518e-05, 'epoch': 1.11}
{'loss': 1.5812, 'grad_norm': 2.1795506477355957, 'learning_rate': 9.447552447552449e-05, 'epoch': 1.18}
{'loss': 1.5323, 'grad_norm': 2.3073461055755615, 'learning_rate': 9.377622377622378e-05, 'epoch': 1.24}
{'loss': 1.4735, 'grad_norm': 2.0362372398376465, 'learning_rate': 9.307692307692309e-05, 'epoch': 1.31}
{'loss': 1.4446, 'grad_norm': 2.368291139602661, 'learning_rate': 9.237762237762238e-05, 'epoch': 1.37}
{'loss': 1.4597, 'grad_norm': 2.4443633556365967, 'learning_rate': 9.167832167832169e-05, 'epoch': 1.44}
{'loss': 1.4095, 'grad_norm': 2.325087785720825, 'learning_rate': 9.097902097902098e-05, 'epoch': 1.51}
{'loss': 1.4818, 'grad_norm': 2.1797473430633545, 'learning_rate': 9.027972027972027e-05, 'epoch': 1.57}
{'loss': 1.4413, 'grad_norm': 2.316516160964966, 'learning_rate': 8.958041958041958e-05, 'epoch': 1.64}
{'loss': 1.4062, 'grad_norm': 2.396690607070923, 'learning_rate': 8.888111888111889e-05, 'epoch': 1.7}
{'loss': 1.3878, 'grad_norm': 2.4884703159332275, 'learning_rate': 8.818181818181818e-05, 'epoch': 1.77}
{'loss': 1.435, 'grad_norm': 2.4810569286346436, 'learning_rate': 8.755244755244755e-05, 'epoch': 1.83}
{'loss': 1.2993, 'grad_norm': 2.543851852416992, 'learning_rate': 8.685314685314686e-05, 'epoch': 1.9}
{'loss': 1.366, 'grad_norm': 2.6920342445373535, 'learning_rate': 8.615384615384617e-05, 'epoch': 1.97}
{'loss': 1.2936, 'grad_norm': 2.464128255844116, 'learning_rate': 8.545454545454545e-05, 'epoch': 2.03}
{'loss': 1.2238, 'grad_norm': 2.32523250579834, 'learning_rate': 8.475524475524476e-05, 'epoch': 2.09}
{'loss': 1.2138, 'grad_norm': 3.1685383319854736, 'learning_rate': 8.405594405594406e-05, 'epoch': 2.16}
{'loss': 1.289, 'grad_norm': 2.8248205184936523, 'learning_rate': 8.335664335664336e-05, 'epoch': 2.22}
{'loss': 1.1262, 'grad_norm': 3.136265516281128, 'learning_rate': 8.265734265734266e-05, 'epoch': 2.29}
{'loss': 1.1019, 'grad_norm': 2.3932337760925293, 'learning_rate': 8.195804195804197e-05, 'epoch': 2.35}
{'loss': 1.143, 'grad_norm': 3.0619499683380127, 'learning_rate': 8.125874125874126e-05, 'epoch': 2.42}
