  0%|                                                                                                                                                             | 0/1000 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                                                                                                                                                           
{'loss': 3.5055, 'grad_norm': 3.1302781105041504, 'learning_rate': 9e-06, 'epoch': 1.0}
{'loss': 3.2815, 'grad_norm': 2.5605416297912598, 'learning_rate': 1.9e-05, 'epoch': 2.0}
{'loss': 2.8845, 'grad_norm': 2.0486667156219482, 'learning_rate': 2.9e-05, 'epoch': 3.0}
{'loss': 2.3921, 'grad_norm': 2.3488693237304688, 'learning_rate': 3.9000000000000006e-05, 'epoch': 4.0}
{'loss': 2.0057, 'grad_norm': 0.7954354286193848, 'learning_rate': 4.9e-05, 'epoch': 5.0}
{'loss': 1.807, 'grad_norm': 0.7517842054367065, 'learning_rate': 5.9e-05, 'epoch': 6.0}
{'loss': 1.6562, 'grad_norm': 0.5891876220703125, 'learning_rate': 6.9e-05, 'epoch': 7.0}
{'loss': 1.5329, 'grad_norm': 0.5967914462089539, 'learning_rate': 7.900000000000001e-05, 'epoch': 8.0}
{'loss': 1.425, 'grad_norm': 0.7296590805053711, 'learning_rate': 8.900000000000001e-05, 'epoch': 9.0}
{'loss': 1.3328, 'grad_norm': 0.7456168532371521, 'learning_rate': 9.900000000000001e-05, 'epoch': 10.0}
{'loss': 1.246, 'grad_norm': 0.9510619044303894, 'learning_rate': 9.900000000000001e-05, 'epoch': 11.0}
{'loss': 1.1626, 'grad_norm': 0.8242520689964294, 'learning_rate': 9.78888888888889e-05, 'epoch': 12.0}
{'loss': 1.0811, 'grad_norm': 0.9277897477149963, 'learning_rate': 9.677777777777778e-05, 'epoch': 13.0}
{'loss': 1.0006, 'grad_norm': 0.9614847898483276, 'learning_rate': 9.566666666666667e-05, 'epoch': 14.0}
{'loss': 0.9241, 'grad_norm': 1.3691474199295044, 'learning_rate': 9.455555555555556e-05, 'epoch': 15.0}
{'loss': 0.8441, 'grad_norm': 1.190943956375122, 'learning_rate': 9.344444444444444e-05, 'epoch': 16.0}
{'loss': 0.7671, 'grad_norm': 1.2816822528839111, 'learning_rate': 9.233333333333333e-05, 'epoch': 17.0}
{'loss': 0.7008, 'grad_norm': 1.54604172706604, 'learning_rate': 9.122222222222223e-05, 'epoch': 18.0}
{'loss': 0.636, 'grad_norm': 1.5805308818817139, 'learning_rate': 9.011111111111111e-05, 'epoch': 19.0}
{'loss': 0.58, 'grad_norm': 1.82216477394104, 'learning_rate': 8.900000000000001e-05, 'epoch': 20.0}
{'loss': 0.5295, 'grad_norm': 1.769650936126709, 'learning_rate': 8.78888888888889e-05, 'epoch': 21.0}
